DATE,EXPORT_AGENT,EXPORT_MARK,GRADE,DESTINATION,INSPECTION _CERT_NO,EXPORT_PERMIT_NO,TONS,PRICE/TON,TOTAL_VALUE_US$,VALUE_KSH,PRICE/KG_KSH,PRICE/TON_KSH,TOTAL_VALUE_KSH,,,
3/4/2023,Teita,Teita,SSUG,Nigeria,3960,UCR2300888213,56,"1,675","93,772.00","219,984.93",219.98,"12,319,155.84","61,595.78",,,
4/4/2023,W/Worth,Vipingo,UG,Morocco,3961,UCR2300897886,13.5,"1,820","24,570.00","239,099.77",239.1,"3,227,846.90","16,139.23",,,
4/4/2023,W/Worth,Vipingo,SSUG,Morocco,3961,UCR2300899004,13.5,"1,675","22,612.50","220,050.61",220.05,"2,970,683.27","14,853.42",,,
6/4/2023,Migotiyo,Alphega,UG,Nigeria,3962,UCR2300887111,28,"2,000","56,000.00","264,864.80",264.86,"7,416,214.40","37,081.07",,,
6/4/2023,W/Worth,Vipingo,SSUG,China,3963,UCR2300906895,27,"1,580","42,660.00","209,243.19",209.24,"5,649,566.18","28,247.83",,,
6/4/2023,W/Worth,Chai,UG,China,3964,UCR2300906855/90,56,"1,770","99,120.00","234,405.35",234.41,"13,126,699.49","65,633.50",,,
6/4/2023,Teita,Teita,SSUG,Senegal,3965,UCR2300902480,57,"1,680","95,760.00","222,486.43",222.49,"12,681,726.62","63,408.63",,,
6/4/2023,Teita,Teita,SSUG,Nigeria,3966,UCR2300902922,28.5,"1,690","48,165.00","223,810.76",223.81,"6,378,606.55","31,893.03",,,
11/4/2023,Agro,Nguru,SSUG,Nigeria,3967,UCR2300895095,56,"1,750","98,000.00","231,756.70",231.76,"12,978,375.20","64,891.88",,,
11/4/2023,W/Worth,Vipingo/DWA,TOW.1,China,3968,UCR2300910399,46.8,"1,125","52,650.00","148,986.45",148.99,"6,972,565.86","34,862.83",,,
11/4/2023,W/Worth,Chai,3L,Belgium,3969,UCR2300925979,48,"2,075","99,600.00","276,805.00",276.81,"13,286,640.00","66,433.20",,,
